,0
0,Alabama
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Minnesota
14,Montana
15,Nebraska
16,New Mexico
17,Oklahoma
18,Tennessee
19,Vermont
20,Wyoming
